Ticker,Nome,Data_com,Data_pgto,Tipo,Valor
BBDC3,BRADESCO,2024-08-01,2024-09-02,JCP,0.01724983
BBDC4,BRADESCO,2024-08-01,2024-09-02,JCP,0.01897481
BEES3,BANCO BANESTES,2024-08-01,2024-09-02,JCP,0.0227911
BEES4,BANCO BANESTES,2024-08-01,2024-09-02,JCP,0.0227911
BNBR3,BANCO NORDESTE DO BRASIL,2024-08-26,2024-09-02,JCP,2.81390602
ITUB3,ITAUUNIBANCO,2024-07-31,2024-09-02,JCP,0.01765
ITUB4,ITAUUNIBANCO,2024-07-31,2024-09-02,JCP,0.01765
MTRE3,MITRE REALTY,2024-08-22,2024-09-02,DIVIDENDO,0.02775
SYNE3,SYN PROP TEC,2024-08-20,2024-09-02,DIVIDENDO,2.88251564
VULC3,VULCABRAS,2024-08-19,2024-09-02,DIVIDENDO,0.125
CSED3,CRUZEIRO EDU,2024-08-27,2024-09-03,DIVIDENDO,0.16459
GRND3,GRENDENE,2024-08-21,2024-09-04,DIVIDENDO,0.01465626
VALE3,VALE,2024-08-02,2024-09-04,JCP,2.09379814
HBTS5,HABITASUL,2024-04-25,2024-09-06,DIVIDENDO,0.714334
POMO3,MARCOPOLO,2024-08-28,2024-09-06,JCP,0.082
POMO3,MARCOPOLO,2024-08-28,2024-09-06,DIVIDENDO,0.038
POMO4,MARCOPOLO,2024-08-28,2024-09-06,JCP,0.082
POMO4,MARCOPOLO,2024-08-28,2024-09-06,DIVIDENDO,0.038
JHSF3,JHSF PART,2024-08-29,2024-09-09,DIVIDENDO,0.03094912
CAML3,CAMIL,2024-09-03,2024-09-10,JCP,0.05570684
CAML3,CAMIL,2024-09-03,2024-09-10,DIVIDENDO,0.01759163
TRIS3,TRISUL,2024-04-29,2024-09-10,DIVIDENDO,0.01806135
TRIS3,TRISUL,2024-04-24,2024-09-10,DIVIDENDO,0.08077863
CSRN3,COSERN,2024-06-25,2024-09-11,JCP,0.08752998
CSRN3,COSERN,2024-07-25,2024-09-11,DIVIDENDO,1.31466579
CSRN5,COSERN,2024-06-25,2024-09-11,JCP,0.09628298
CSRN5,COSERN,2024-07-25,2024-09-11,DIVIDENDO,1.44613236
CSRN6,COSERN,2024-06-25,2024-09-11,JCP,0.09628298
CSRN6,COSERN,2024-07-25,2024-09-11,DIVIDENDO,1.44613236
LUXM3,TREVISA,2024-04-24,2024-09-11,DIVIDENDO,0.20221
LUXM4,TREVISA,2024-04-25,2024-09-11,DIVIDENDO,0.22243
CASH3,MELIUZ,2024-09-02,2024-09-13,AMORTIZAÇÃO,2.52713564
FESA3,FERBASA,2024-09-05,2024-09-20,JCP,0.04963252
FESA4,FERBASA,2024-09-05,2024-09-20,JCP,0.05459577
JALL3,JALLESMACHAD,2024-07-25,2024-09-20,DIVIDENDO,0.0676946
PETR3,PETROBRAS,2024-06-11,2024-09-20,JCP,0.07355446
PETR3,PETROBRAS,2024-06-11,2024-09-20,DIVIDENDO,0.44806667
PETR4,PETROBRAS,2024-06-11,2024-09-20,JCP,0.07355446
PETR4,PETROBRAS,2024-06-11,2024-09-20,DIVIDENDO,0.44806667
WHRL3,WHIRLPOOL,2024-09-13,2024-09-25,DIVIDENDO,0.01581561
WHRL3,WHIRLPOOL,2024-09-13,2024-09-25,DIVIDENDO,0.18627996
WHRL4,WHIRLPOOL,2024-09-13,2024-09-25,DIVIDENDO,0.01739718
WHRL4,WHIRLPOOL,2024-09-13,2024-09-25,DIVIDENDO,0.20490796
BALM3,BAUMER,2023-12-05,2024-09-27,JCP,0.194118
BALM4,BAUMER,2023-12-05,2024-09-27,JCP,0.194118
BBAS3,BANCO BRASIL,2024-09-11,2024-09-27,JCP,0.18660198
BRSR3,BANRISUL,2024-09-12,2024-09-27,JCP,0.12225702
BRSR5,BANRISUL,2024-09-12,2024-09-27,JCP,0.12225702
BRSR6,BANRISUL,2024-09-12,2024-09-27,JCP,0.12225702
CAMB3,CAMBUCI,2024-08-12,2024-09-27,JCP,0.0836375
CATA3,CIA INDUSTRIAL CATAGUASES,2024-04-24,2024-09-30,DIVIDENDO,3.2752
CATA4,CIA INDUSTRIAL CATAGUASES,2024-04-26,2024-09-30,DIVIDENDO,24.9986
ETER3,ETERNIT,2024-08-09,2024-09-30,JCP,0.036805
MDIA3,M.DIAS BRANCO,2024-09-16,2024-09-30,JCP,0.06
MULT3,MULTIPLAN,2023-09-27,2024-09-30,JCP,0.20605475
ODER3,CONSERVAS ODERICH,2023-10-05,2024-09-30,JCP,0.13
ODER3,CONSERVAS ODERICH,2023-07-07,2024-09-30,JCP,0.12
ODER4,CONSERVAS ODERICH,2023-10-05,2024-09-30,JCP,0.13
ODER4,CONSERVAS ODERICH,2024-01-04,2024-09-30,JCP,0.124
ODER4,CONSERVAS ODERICH,2023-07-07,2024-09-30,JCP,0.12
