Ticker,Nome,Data_com,Data_pgto,Tipo,Valor
ROOF11,FII ROOFTOPI,2024-08-26,2024-09-02,AMORTIZAÇÃO,12.9041
ELDO11B,FII ELDORADO,2024-08-26,2024-09-03,RENDIMENTO,0.88
ABCP11,FII ABC IMOB,2024-08-30,2024-09-06,RENDIMENTO,0.62
AROA11,FII AROA,2024-08-30,2024-09-06,RENDIMENTO,0.0062
ARRI11,FII ATRIO,2024-08-30,2024-09-06,RENDIMENTO,0.1
BICE11,FII BRIO CRE,2024-08-30,2024-09-06,RENDIMENTO,4.75
BPFF11,FII ABSOLUTO,2024-08-30,2024-09-06,RENDIMENTO,0.62
EVBI11,FII VBI CON,2024-08-30,2024-09-06,RENDIMENTO,0.075
GARE11,FII GUARDIAN,2024-08-30,2024-09-06,RENDIMENTO,0.087
HGAG11,FIAGRO HIGH,2024-08-30,2024-09-06,RENDIMENTO,0.18
HOSI11,FII HOUSI,2024-08-30,2024-09-06,RENDIMENTO,0.7205
HSAF11,FII HSI CRI,2024-08-30,2024-09-06,RENDIMENTO,0.8
HSML11,FII HSI MALL,2024-08-30,2024-09-06,RENDIMENTO,0.8
HTMX11,FII HOTEL MX,2024-08-30,2024-09-06,RENDIMENTO,2.1328364
IDFI11,FII UNIDADES,2024-08-30,2024-09-06,RENDIMENTO,0.08506041
IDFI11,FII UNIDADES,2024-08-30,2024-09-06,AMORTIZAÇÃO,5.05004725
IDGR11,FII UNID II,2024-08-30,2024-09-06,AMORTIZAÇÃO,0.85049914
IDGR11,FII UNID II,2024-08-30,2024-09-06,RENDIMENTO,0.02623978
IFRI11,FI ITAU IFRI,2024-08-30,2024-09-06,RENDIMENTO,1.0
LASC11,FII LEGATUS,2024-08-30,2024-09-06,RENDIMENTO,0.7394
LIFE11,FII LIFE,2024-08-30,2024-09-06,RENDIMENTO,0.135
LVBI11,FII VBI LOG,2024-08-30,2024-09-06,RENDIMENTO,0.9
NSLU11,FII LOURDES,2024-08-30,2024-09-06,RENDIMENTO,1.53
OCRE11,FII OCTO,2024-08-30,2024-09-06,RENDIMENTO,0.74
OGIN11,ORAMA INFRA,2024-08-30,2024-09-06,RENDIMENTO,0.13
PLRI11,FII POLO I,2024-08-30,2024-09-06,RENDIMENTO,0.78591308
PLRI11,FII POLO I,2024-08-30,2024-09-06,AMORTIZAÇÃO,1.8337972
PNCR11,FII PNCR,2024-08-30,2024-09-06,RENDIMENTO,0.83
PNRC11,FII PNRC,2024-08-30,2024-09-06,RENDIMENTO,0.89
PORD11,FII POLO CRI,2024-08-30,2024-09-06,RENDIMENTO,0.089
PVBI11,FII VBI PRI,2024-08-30,2024-09-06,RENDIMENTO,0.65
RURA11,FIAGRO RURA,2024-08-30,2024-09-06,RENDIMENTO,0.1
RZDL11,FIP RZDL,2024-08-30,2024-09-06,RENDIMENTO,110.4586799
RZTR11,FII RIZA TX,2024-08-30,2024-09-06,RENDIMENTO,0.9
SPAF11,FII SPA,2024-08-30,2024-09-06,RENDIMENTO,9.09993873
SPTW11,FII SP DOWNT,2024-08-30,2024-09-06,RENDIMENTO,0.4
STRX11,FII STARX,2024-08-30,2024-09-06,RENDIMENTO,0.81
VANG11,VANG INFRA,2024-08-30,2024-09-06,RENDIMENTO,1.0
VGHF11,FII VALOR HE,2024-08-30,2024-09-06,RENDIMENTO,0.09
VGII11,FII VGII,2024-08-30,2024-09-06,RENDIMENTO,0.97
VGRI11,FII VGRI,2024-08-30,2024-09-06,RENDIMENTO,0.15
VPSI11,FII POLO SHO,2024-08-30,2024-09-06,RENDIMENTO,0.20228672
AIEC11,FII AUTONOMY,2024-08-30,2024-09-09,RENDIMENTO,0.73
CACR11,CARTESIA FII,2024-08-30,2024-09-09,RENDIMENTO,1.31
FVPQ11,FII V PARQUE,2024-08-30,2024-09-09,RENDIMENTO,0.43
GGRC11,FII GGRCOVEP,2024-09-02,2024-09-09,RENDIMENTO,0.091
NVHO11,FII NOVOHORI,2024-08-30,2024-09-09,RENDIMENTO,0.08331896
PATC11,FII PATRIA,2024-08-30,2024-09-09,RENDIMENTO,0.12
PATL11,FII PATR LOG,2024-08-30,2024-09-09,RENDIMENTO,0.57
QAGR11,FII QUASAR A,2024-09-02,2024-09-09,RENDIMENTO,0.44
RBLG11,FII RBCAP LG,2024-09-02,2024-09-09,RENDIMENTO,0.75
VSHO11,FII VOT SHOP,2024-08-30,2024-09-09,RENDIMENTO,0.71
VTLT11,FII VOT LOG,2024-08-30,2024-09-09,RENDIMENTO,0.93
BRFT11,FIAGRO BRFT,2024-09-03,2024-09-10,RENDIMENTO,1.16
EDFO11B,FII OURINVES,2024-08-30,2024-09-10,RENDIMENTO,1.8
EGAF11,FIAGRO ECO,2024-09-03,2024-09-10,RENDIMENTO,1.18
FIIB11,FII INDL BR,2024-08-30,2024-09-10,RENDIMENTO,3.65
RBRM11,FII RBR DES,2024-08-30,2024-09-10,AMORTIZAÇÃO,5302.01895755
RMAI11,FII REAGMULT,2024-08-30,2024-09-10,RENDIMENTO,0.47
SMRE11,FII SMRE,2024-08-30,2024-09-10,RENDIMENTO,1.05
VERE11,FII VEREDA,2024-08-30,2024-09-10,RENDIMENTO,2.2
CRFF11,FII CX RBRA2,2024-09-02,2024-09-11,RENDIMENTO,0.62
CXRI11,FII CX RBRAV,2024-09-02,2024-09-11,RENDIMENTO,0.59
ICRI11,FII CI IPCA,2024-08-30,2024-09-11,RENDIMENTO,0.97
ITRI11,FII ITRI,2024-08-30,2024-09-11,RENDIMENTO,0.88
KNHF11,FII KINEA HF,2024-08-30,2024-09-11,RENDIMENTO,0.9
KNUQ11,FII KINEA UN,2024-08-30,2024-09-11,RENDIMENTO,1.03
TMPS11,FII ITAU TEM,2024-08-30,2024-09-11,RENDIMENTO,0.82
HABT11,FII HABIT II,2024-08-30,2024-09-12,RENDIMENTO,0.95
HGIC11,FII HGI CRI,2024-09-05,2024-09-12,RENDIMENTO,1.0
KCRE11,FII KINEA CR,2024-08-30,2024-09-12,RENDIMENTO,0.09
KNCA11,FIAGRO KINEA,2024-08-30,2024-09-12,RENDIMENTO,1.06
KNCR11,FII KINEA RI,2024-08-30,2024-09-12,RENDIMENTO,0.95
KNHY11,FII KINEA HY,2024-08-30,2024-09-12,RENDIMENTO,1.03
